ts_code,symbol,exchange,name,fut_code,multiplier,trade_unit,per_unit,quote_unit,quote_unit_desc,d_mode_desc,list_date,delist_date,d_month,last_ddate
IH2507.CFX,IH2507,CFFEX,IH2507,IH,300,张,1,指数点,0.2指数点,现金交割,20250519,20250718,202507,20250718
TL2412.CFX,TL2412,CFFEX,TL2412,TL,10000,张,1,人民币元,0.01人民币元,实物交割,20240311,20241213,202412,20241218
TF1609.CFX,TF1609,CFFEX,TF1609,TF,10000,张,1,人民币元,0.005人民币元,实物交割,20151214,20160909,201609,20160914
IC2210.CFX,IC2210,CFFEX,IC2210,IC,200,张,1,指数点,0.2指数点,现金交割,20220822,20221021,202210,20221021
IH1508.CFX,IH1508,CFFEX,IH1508,IH,300,张,1,指数点,0.2指数点,现金交割,20150623,20150821,201508,20150821
IC2405.CFX,IC2405,CFFEX,IC2405,IC,200,张,1,指数点,0.2指数点,现金交割,20240318,20240517,202405,20240517
TL2509.CFX,TL2509,CFFEX,TL2509,TL,10000,张,1,人民币元,0.01人民币元,实物交割,20241216,20250912,202509,20250917
TF1312.CFX,TF1312,CFFEX,TF1312,TF,10000,张,1,人民币元,0.005人民币元,实物交割,20130906,20131213,201312,20131218
IM2308.CFX,IM2308,CFFEX,IM2308,IM,200,张,1,指数点,0.2指数点,现金交割,20230619,20230818,202308,20230818
IF1104.CFX,IF1104,CFFEX,IF1104,IF,300,张,1,指数点,0.2指数点,现金交割,20110221,20110415,201104,20110415
IF2212.CFX,IF2212,CFFEX,IF2212,IF,300,张,1,指数点,0.2指数点,现金交割,20220418,20221216,202212,20221216
T1706.CFX,T1706,CFFEX,T1706,T,10000,张,1,人民币元,0.005人民币元,实物交割,20160912,20170609,201706,20170614
IF2512.CFX,IF2512,CFFEX,IF2512,IF,300,张,1,指数点,0.2指数点,现金交割,20250421,20251219,202512,20251219
IF2502.CFX,IF2502,CFFEX,IF2502,IF,300,张,1,指数点,0.2指数点,现金交割,20241223,20250221,202502,20250221
T1709.CFX,T1709,CFFEX,T1709,T,10000,张,1,人民币元,0.005人民币元,实物交割,20161212,20170908,201709,20170913
IF1510.CFX,IF1510,CFFEX,IF1510,IF,300,张,1,指数点,0.2指数点,现金交割,20150824,20151016,201510,20151016
IC2601.CFX,IC2601,CFFEX,IC2601,IC,200,张,1,指数点,0.2指数点,现金交割,20251124,20260116,202601,20260116
IF2005.CFX,IF2005,CFFEX,IF2005,IF,300,张,1,指数点,0.2指数点,现金交割,20200323,20200515,202005,20200515
IC2005.CFX,IC2005,CFFEX,IC2005,IC,200,张,1,指数点,0.2指数点,现金交割,20200323,20200515,202005,20200515
IH2005.CFX,IH2005,CFFEX,IH2005,IH,300,张,1,指数点,0.2指数点,现金交割,20200323,20200515,202005,20200515
IF1601.CFX,IF1601,CFFEX,IF1601,IF,300,张,1,指数点,0.2指数点,现金交割,20151123,20160115,201601,20160115
IF2604.CFX,IF2604,CFFEX,IF2604,IF,300,张,1,指数点,0.2指数点,现金交割,20260225,20260417,202604,20260417
IH2303.CFX,IH2303,CFFEX,IH2303,IH,300,张,1,指数点,0.2指数点,现金交割,20220718,20230317,202303,20230317
IC2512.CFX,IC2512,CFFEX,IC2512,IC,200,张,1,指数点,0.2指数点,现金交割,20250421,20251219,202512,20251219
IC1902.CFX,IC1902,CFFEX,IC1902,IC,200,张,1,指数点,0.2指数点,现金交割,20181224,20190215,201902,20190215
IF1902.CFX,IF1902,CFFEX,IF1902,IF,300,张,1,指数点,0.2指数点,现金交割,20181224,20190215,201902,20190215
IH1902.CFX,IH1902,CFFEX,IH1902,IH,300,张,1,指数点,0.2指数点,现金交割,20181224,20190215,201902,20190215
IF1301.CFX,IF1301,CFFEX,IF1301,IF,300,张,1,指数点,0.2指数点,现金交割,20121119,20130118,201301,20130118
TS2312.CFX,TS2312,CFFEX,TS2312,TS,20000,张,1,人民币元,0.002人民币元,实物交割,20230313,20231208,202312,20231213
IF1504.CFX,IF1504,CFFEX,IF1504,IF,300,张,1,指数点,0.2指数点,现金交割,20150226,20150417,201504,20150417
IH1611.CFX,IH1611,CFFEX,IH1611,IH,300,张,1,指数点,0.2指数点,现金交割,20160920,20161118,201611,20161118
IC2402.CFX,IC2402,CFFEX,IC2402,IC,200,张,1,指数点,0.2指数点,现金交割,20231218,20240219,202402,20240219
IH1810.CFX,IH1810,CFFEX,IH1810,IH,300,张,1,指数点,0.2指数点,现金交割,20180820,20181019,201810,20181019
IC2305.CFX,IC2305,CFFEX,IC2305,IC,200,张,1,指数点,0.2指数点,现金交割,20230320,20230519,202305,20230519
IF2111.CFX,IF2111,CFFEX,IF2111,IF,300,张,1,指数点,0.2指数点,现金交割,20210922,20211119,202111,20211119
IC2111.CFX,IC2111,CFFEX,IC2111,IC,200,张,1,指数点,0.2指数点,现金交割,20210922,20211119,202111,20211119
IH2111.CFX,IH2111,CFFEX,IH2111,IH,300,张,1,指数点,0.2指数点,现金交割,20210922,20211119,202111,20211119
IH2411.CFX,IH2411,CFFEX,IH2411,IH,300,张,1,指数点,0.2指数点,现金交割,20240923,20241115,202411,20241115
IF1302.CFX,IF1302,CFFEX,IF1302,IF,300,张,1,指数点,0.2指数点,现金交割,20121224,20130218,201302,20130218
TF1709.CFX,TF1709,CFFEX,TF1709,TF,10000,张,1,人民币元,0.005人民币元,实物交割,20161212,20170908,201709,20170913
TS2406.CFX,TS2406,CFFEX,TS2406,TS,20000,张,1,人民币元,0.002人民币元,实物交割,20230911,20240614,202406,20240619
TF2406.CFX,TF2406,CFFEX,TF2406,TF,10000,张,1,人民币元,0.005人民币元,实物交割,20230911,20240614,202406,20240619
T2406.CFX,T2406,CFFEX,T2406,T,10000,张,1,人民币元,0.005人民币元,实物交割,20230911,20240614,202406,20240619
TL2406.CFX,TL2406,CFFEX,TL2406,TL,10000,张,1,人民币元,0.01人民币元,实物交割,20230911,20240614,202406,20240619
IH2406.CFX,IH2406,CFFEX,IH2406,IH,300,张,1,指数点,0.2指数点,现金交割,20231023,20240621,202406,20240621
T2603.CFX,T2603,CFFEX,T2603,T,10000,张,1,人民币元,0.005人民币元,实物交割,20250616,20260313,202603,20260318
T2609.CFX,T2609,CFFEX,T2609,T,10000,张,1,人民币元,0.005人民币元,实物交割,20251215,20260911,202609,20260916
TF1912.CFX,TF1912,CFFEX,TF1912,TF,10000,张,1,人民币元,0.005人民币元,实物交割,20190311,20191213,201912,20191218
T1912.CFX,T1912,CFFEX,T1912,T,10000,张,1,人民币元,0.005人民币元,实物交割,20190311,20191213,201912,20191218
TS1912.CFX,TS1912,CFFEX,TS1912,TS,20000,张,1,人民币元,0.002人民币元,实物交割,20190311,20191213,201912,20191218
IF1905.CFX,IF1905,CFFEX,IF1905,IF,300,张,1,指数点,0.2指数点,现金交割,20190318,20190517,201905,20190517
IC1905.CFX,IC1905,CFFEX,IC1905,IC,200,张,1,指数点,0.2指数点,现金交割,20190318,20190517,201905,20190517
IH1905.CFX,IH1905,CFFEX,IH1905,IH,300,张,1,指数点,0.2指数点,现金交割,20190318,20190517,201905,20190517
